,,cavitation discharge 1,cavitation discharge 2,cavitation discharge 3,cavitation discharge 4,cavitation discharge 5
Ch1,count,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch1,mean,0.07862202579487046,0.07904112859078176,0.07934820370787056,0.07941087021770539,0.07919795632752975
Ch1,std,19.609403745333818,18.643092630117884,16.983913894890843,14.993251387804044,14.666740342892695
Ch1,min,-29.56545238258349,-28.094455419304047,-25.073960649502947,-22.1737803837534,-21.85282340293545
Ch1,25%,-20.11686637648905,-19.236364139488387,-17.67072121228485,-15.48221444854065,-15.0932198982951
Ch1,50%,0.059848348841549895,0.09231604522605,0.015510883292999999,-0.06792583848862495,-0.06820845204015
Ch1,75%,20.26080211552155,19.374729762592573,17.803227533501023,15.59176334800155,15.198753056361076
Ch1,max,29.94627085705935,28.12726488091365,25.12057216828005,22.1186773136142,21.93119279801415
Ch2,count,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch2,mean,0.13467590600802012,0.13504292732396334,0.13432689537767442,0.1340798641780049,0.1333656184632832
Ch2,std,19.46214982857173,18.516018782351022,16.922130710829624,14.976502805508517,14.652664436563821
Ch2,min,-29.2491092323044,-28.1344550954571,-24.800890234648048,-22.2103229732064,-21.96684153995535
Ch2,25%,-19.990515115528762,-19.117337827439137,-17.60728104237566,-15.396960455898636,-15.011961929823487
Ch2,50%,0.13901300530942495,0.17453687149529995,-0.029963608869824902,-0.02396957261422495,-0.0268285701703499
Ch2,75%,20.257729514699736,19.399560320677725,17.872070222930063,15.6467218251609,15.2591074806321
Ch2,max,29.71260860162175,27.98627358074355,25.23088346708925,22.2640852720779,21.95766645814305
Ch3,count,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch3,mean,0.04352883435634834,0.042539440408125045,0.041993540242476174,0.041853025739847914,0.0416609710344993
Ch3,std,19.422322625847222,18.45637462436467,16.805114878563952,14.841373975398238,14.522228021917606
Ch3,min,-29.635908598219498,-27.7563838875984,-24.8577152757291,-21.83029318771155,-21.613732338345297
Ch3,25%,-20.022578608810502,-19.148359594025138,-17.581142575063687,-15.442983744144074,-15.059549451214576
Ch3,50%,0.07849427083402499,0.0687736791432,-0.0064475324196749,-0.1277807597383499,-0.1193417876416499
Ch3,75%,20.0854634102289,19.195904394763087,17.63647567948901,15.4947151688895,15.099627996265722
Ch3,max,29.52516352047075,27.95030936320995,25.3301399753481,22.05606855333915,21.84054614446455
Ch4,count,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch4,mean,-0.01455288867993126,-0.008287270325484854,-0.0067350124440101284,-0.01019124540156066,-0.012974575003615318
Ch4,std,127.29290923844613,127.36012468774832,127.3558916923058,127.46174863670282,127.44488906813847
Ch4,min,-276.443396903478,-277.28395031973,-277.955926402674,-279.032040879252,-279.778194877602
Ch4,25%,-120.00297536701049,-120.062546163426,-119.938203366828,-119.922016442955,-119.8726050071685
Ch4,50%,-0.06197696077499995,-0.13712706380099998,-0.19458335214299993,-0.25471315644000003,-0.23906093575799994
Ch4,75%,120.1075341455415,120.19301374202999,120.1181795999805,120.167882692053,120.103183605942
Ch4,max,316.451153498004,317.460770341374,319.41321473862,321.289342407696,320.12281448245795
Ch5,count,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch5,mean,-0.010466972328594441,-0.02445236741979074,-0.01369352032223177,-0.011263890399772882,-0.008751309929700198
Ch5,std,127.65214379828159,127.72556425153306,127.74631729313099,127.86883637508188,127.85044256208859
Ch5,min,-277.902650521098,-278.558877164598,-280.297148629158,-280.636442108538,-280.457948461506
Ch5,25%,-119.6733551544495,-119.741870076969,-119.6613972467235,-119.630408766336,-119.58588257334
Ch5,50%,-0.04374844289999995,-0.1270163125529999,-0.127648234506,-0.14577953361899998,-0.15457783158
Ch5,75%,119.8592860367745,119.915745832806,119.8504391294325,119.8529182078635,119.8273010640765
Ch5,max,318.766612752558,319.481559528306,322.484160992676,322.926798016062,324.613251880476
Ch6,count,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch6,mean,0.19268311895226106,0.19669369983679894,0.18422133770836094,0.1844659803621203,0.18504429848225384
Ch6,std,127.64956769568718,127.72097336967252,127.71555665191946,127.82924498757494,127.81130418635941
Ch6,min,-277.862985266202,-278.268679160028,-279.006375126084,-279.454748056428,-281.244351027324
Ch6,25%,-120.160688503665,-120.181444709352,-120.1024301605365,-120.105468246849,-120.04281075474
Ch6,50%,0.194388914619,0.0782611034099999,-0.04272764589899995,-0.05711602267499995,-0.08249011955699995
Ch6,75%,120.6587645260815,120.695245866522,120.6222588809505,120.70732529770049,120.68399279482051
Ch6,max,318.053027039478,319.45015786818,320.954034897558,321.453642115476,323.040835623888
