,,cavitation suction 1,cavitation suction 2,cavitation suction 3,cavitation suction 4
Ch1,count,1500000.0,1500000.0,1500000.0,1500000.0
Ch1,mean,0.07885126363657276,0.0797858990402935,0.08003763181653266,0.08031631218487263
Ch1,std,21.35600110401927,19.421090652640434,15.796033302937557,14.410249785531077
Ch1,min,-32.9073642017748,-29.442574639343697,-23.13920142057915,-21.02506802774325
Ch1,25%,-21.66818145387109,-19.9485470031273,-16.4179282004154,-14.775697000748586
Ch1,50%,0.08574363705105,0.088957544648625,-0.0594014250856499,-0.07452453629632494
Ch1,75%,21.82749005562491,20.082627416101385,16.514230411199588,14.888193625275974
Ch1,max,32.8919584770126,29.4274055212758,23.33600561097135,21.2776982531739
Ch2,count,1500000.0,1500000.0,1500000.0,1500000.0
Ch2,mean,0.1317884298479813,0.13147723022052374,0.12975474303791967,0.135061624151448
Ch2,std,21.164766535744455,19.27956119553328,15.761464086545145,14.4009469984482
Ch2,min,-32.1239857265802,-29.0532777583221,-23.2819672709565,-21.18611831766345
Ch2,25%,-21.523404446592185,-19.819566778897013,-16.35305524552406,-14.694356877174787
Ch2,50%,0.08703182905334994,0.11826391270094995,-0.06395610395092499,-0.01846846697174995
Ch2,75%,21.778680066313274,20.0813885171604,16.580036648051774,14.9391363610404
Ch2,max,32.64434957142765,29.4498305779689,23.67030458038455,21.364782661492647
Ch3,count,1500000.0,1500000.0,1500000.0,1500000.0
Ch3,mean,0.041104772133083715,0.03898876043362355,0.039319209698198694,0.0450985794652591
Ch3,std,21.196055742672563,19.22475493763085,15.62417544741654,14.272216745579302
Ch3,min,-32.406139209532945,-29.01326493735269,-23.33332406843595,-20.94634372262309
Ch3,25%,-21.638776499696135,-19.84079894350635,-16.35004508257991,-14.7398346555417
Ch3,50%,0.06262847749957495,0.07386072307065,-0.133715644320375,-0.09967056997387494
Ch3,75%,21.689397187459985,19.897620698383307,16.398884647728337,14.791336046001
Ch3,max,32.58756396479565,29.3014256013774,23.1757308652158,21.0973513728519
Ch4,count,1500000.0,1500000.0,1500000.0,1500000.0
Ch4,mean,-0.02494694382602522,-0.010656129577567681,-0.004229586950758049,0.010186747348692909
Ch4,std,127.15298406323751,127.26438014002379,127.28043886560873,127.27180731383045
Ch4,min,-275.128318709904,-276.134630115366,-279.391264204842,-280.186027584192
Ch4,25%,-120.068282070384,-120.181736365638,-120.00538153137,-119.709107354175
Ch4,50%,-0.038790286038,-0.1888960545659999,-0.3243217900319999,-0.1978401806699999
Ch4,75%,120.1498729163925,120.299662723944,120.206235493662,120.016464470238
Ch4,max,314.425795029258,315.536227728822,319.197194649456,320.010040718538
Ch5,count,1500000.0,1500000.0,1500000.0,1500000.0
Ch5,mean,-0.006802284651501136,-0.011875690078226553,-0.011963676298462058,-0.014726509009674123
Ch5,std,127.48393339841063,127.63039920805865,127.68805394736908,127.67558970849622
Ch5,min,-277.152413334744,-277.941538025898,-278.671650928518,-282.463182646518
Ch5,25%,-119.737252185774,-119.883080328774,-119.714162729799,-119.478358622568
Ch5,50%,-0.0184715647799999,-0.13654375122899998,-0.2894202544739999,-0.152925112626
Ch5,75%,119.90167341700649,120.037755379116,119.902718518698,119.698753556022
Ch5,max,316.779461257278,318.218687809926,320.783415970248,322.88110519792195
Ch6,count,1500000.0,1500000.0,1500000.0,1500000.0
Ch6,mean,0.20415452869746117,0.19495429914391224,0.1907608369351757,0.1688260356876357
Ch6,std,127.51287728005427,127.61442394092948,127.64067998836344,127.63967780082682
Ch6,min,-276.123255520212,-277.407709803756,-279.92343970803,-280.649858297694
Ch6,25%,-120.2420363027685,-120.330286633974,-120.1388871962865,-119.923620552528
Ch6,50%,0.2223393086939999,0.09182312070899995,-0.134550766608,-0.104461559769
Ch6,75%,120.7642468828515,120.852254167152,120.75785474925,120.528029595882
Ch6,max,315.415482026418,316.324963544928,319.737147653604,322.451106613596
